osm_id,name,latitude,longitude,locality,lga_name,abs_lga_code,vicmap_lga_code,regional_group,area_type,category,subcategory,display_name,osm_tag_type,osm_tag_value,addr_housenumber,addr_street,osm_addr_suburb,addr_postcode,operator,brand,phone,website,opening_hours,wheelchair
a33069469,Dandongadale (part in Alpine NP) Remote and Natural Area,-37.024456,146.695987,ABBEYARD,ALPINE,20110,300,Ovens Murray,rural_council,recreation,nature_reserve,Nature Reserve,leisure,nature_reserve,,,,,"Victorian Department of Environment, Land, Water and Planning",,,,,
n13819662975,Connellys Creek Rd/Maroondah Hwy,-37.2581425,145.7048183,ACHERON,MURRINDINDI,25620,355,Goulburn,rural_council,public_transport,bus_stop,Bus Stop,highway,bus_stop,,,,,,,,,,
n13819662976,Connellys Creek Rd/Maroondah Hwy,-37.2573386,145.7049202,ACHERON,MURRINDINDI,25620,355,Goulburn,rural_council,public_transport,bus_stop,Bus Stop,highway,bus_stop,,,,,,,,,,
a1333249802,Ada Tall Trees Reserve,-37.8165776,145.8583281,ADA,BAW BAW,20830,305,Gippsland,rural_council,recreation,nature_reserve,Nature Reserve,leisure,nature_reserve,,,,,DELWP,,,,,
w666624901,Ada Tall Trees Reserve,-37.8169262,145.8632721,ADA,BAW BAW,20830,305,Gippsland,rural_council,recreation,nature_reserve,Nature Reserve,leisure,nature_reserve,,,,,DELWP,,,,,
a18532393,Adelaide Lead Streamside Reserve,-37.0818613,143.6833812,ADELAIDE LEAD,CENTRAL GOLDFIELDS,21670,313,Loddon Campaspe,rural_council,recreation,nature_reserve,Nature Reserve,leisure,nature_reserve,,,,,Parks Victoria,,,,,
a18535069,Paddys Ranges State Park,-37.0865831,143.7051373,ADELAIDE LEAD,CENTRAL GOLDFIELDS,21670,313,Loddon Campaspe,rural_council,recreation,nature_reserve,Nature Reserve,leisure,nature_reserve,,,,,Parks Victoria,,,,,
a138732042,Aireys Inlet Primary School,-38.456597,144.1099002,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,education,school,School,amenity,school,15-21,Anderson Street,,,Victorian Department of Education,,,,,
w69366021,Aireys Inlet Primary School,-38.4565982,144.1099013,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,education,school,School,amenity,school,15-21,Anderson Street,,,Victorian Department of Education,,,,,
n4159708661,Post Office/Great Ocean Rd,-38.4581348,144.1068646,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,public_transport,bus_stop,Bus Stop,highway,bus_stop,,,,,,,,,,
n4159708844,Aireys Inlet,-38.4586212,144.1069701,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,public_transport,bus_stop,Bus Stop,highway,bus_stop,,,,,,,,,,
n4159709589,Aireys Inlet,-38.4648052,144.100141,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,public_transport,bus_stop,Bus Stop,highway,bus_stop,,,,,,,,,,
n7798033382,Bambra Rd/Great Ocean Rd,-38.4646027,144.1001719,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,public_transport,bus_stop,Bus Stop,highway,bus_stop,,,,,,,,,,
a1333241330,Aireys Inlet Bushland Reserve,-38.4489222,144.1082922,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,recreation,nature_reserve,Nature Reserve,leisure,nature_reserve,,,,,Committee of Management,,,,,
w666620665,Aireys Inlet Bushland Reserve,-38.4488107,144.1083674,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,recreation,nature_reserve,Nature Reserve,leisure,nature_reserve,,,,,Committee of Management,,,,,
a138732184,Bark Hut Reserve,-38.465823,144.1022234,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,recreation,park,Park,leisure,park,,,,,,,,,,
a139120146,Aireys Inlet Reserve,-38.4660865,144.0983391,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,recreation,park,Park,leisure,park,,,,,,,,,,
w69366092,Bark Hut Reserve,-38.4658158,144.1022216,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,recreation,park,Park,leisure,park,,,,,,,,,,
w69560073,Aireys Inlet Reserve,-38.4659901,144.0983649,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,recreation,park,Park,leisure,park,,,,,,,,,,
a138732156,,-38.4657603,144.1021203,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,recreation,playground,Playground,leisure,playground,,,,,,,,,,
a138732216,,-38.4660588,144.0985289,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,recreation,playground,Playground,leisure,playground,,,,,,,,,,
w69366078,,-38.4657567,144.1021221,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,recreation,playground,Playground,leisure,playground,,,,,,,,,,
w69366108,,-38.4660601,144.0985291,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,recreation,playground,Playground,leisure,playground,,,,,,,,,,
a138732138,Aireys Inlet Community Hall,-38.4561534,144.1082559,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,recreation,sports_centre,Sports Centre,leisure,sports_centre,,,,,,,,,,
a139120390,Anderson Roadknight Reserve,-38.4563911,144.1080337,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,recreation,sports_centre,Sports Centre,leisure,sports_centre,,,,,,,,,,
w69366069,Aireys Inlet Community Hall,-38.4561534,144.1082559,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,recreation,sports_centre,Sports Centre,leisure,sports_centre,,,,,,,,,,
w69560195,Anderson Roadknight Reserve,-38.456327,144.1080691,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,recreation,sports_centre,Sports Centre,leisure,sports_centre,,,,,,,,,,
n831202222,Aireys Inlet General Store,-38.4588652,144.1071263,AIREYS INLET,SURF COAST,26490,365,Barwon,rural_council,shopping,convenience_store,Convenience Store,shop,convenience,40,Great Ocean Road,,3231,,,+61 3 5289 6221,https://www.aireysinletgeneralstore.com.au/,,
a437946146,Airly Primary School,-38.0257565,147.1133856,AIRLY,WELLINGTON,26810,370,Gippsland,rural_council,education,school,School,amenity,school,226,Airly Estate Road,,,Victorian Department of Education,,+61 3 5149 8251,http://www.airlyps.vic.edu.au/,,
